System,Code,Name,Path,Description
SM,USER,用户管理,/apps/SM/user,用户管理及个人配置
SM,ROLE,角色管理,/apps/SM/role,权限角色配置
SM,PERM,权限管理,/apps/SM/permission,功能权限分配
SM,ORG,组织架构,/apps/SM/organization,公司部门结构
SM,SYSTEM,系统配置,/apps/SM/system,全局参数与系统设置
SM,MSG,消息管理,/apps/SM/message,系统通知与消息重推
SM,LOG,操作日志,/apps/SM/log,系统操作审计日志
SM,APPROVAL,审批流,/apps/SM/approval,单据审批流程配置
SM,DTPN,数据方案,/apps/SM/data_planning,数据导入与规划方案
SM,PARA,参数配置,/apps/SM/parameter,业务参数设置
SM,ROUTE,前端路由,/apps/SM/route,菜单与路由配置
SM,PRINT,打印配置,/apps/SM/print.py,单据打印模板配置
BDM,UOMG,单位组,/apps/BDM/uomg.py,计量单位组管理
BDM,BOMT,BOM溯源,/apps/BDM/bom_trace,BOM正反向溯源查询
BDM,COST,BOM成本,/apps/BDM/cost.py,BOM成本核算与统计
BDM,STOCK,仓库管理,/apps/BDM/stock,基础仓库配置
BDM,UOM,计量单位,/apps/BDM/unit,计量单位
BDM,BOM,物料清单,/apps/BDM/bomlist,物料清单
BDM,MATM,物料管理,/apps/BDM/material,物料管理
BDM,SUPM,供应商列表,/apps/BDM/supplier,供应商列表
BDM,CUST,客户列表,/apps/BDM/customer,客户列表
BDM,BOMG,BOM分组,/apps/BDM/bomg.py,BOM分组
BDM,MATG,物料分组,/apps/BDM/matg.py,物料分组
BDM,DEPT,部门管理,/apps/BDM/department,部门管理
BDM,STAFF,员工管理,/apps/BDM/staff,员工管理
BDM,CONV,物料单位换算,/apps/BDM/conv,物料单位换算
WMS,PURC,采购入库单,/apps/WMS/in_stock/purc,采购入库单
WMS,PRC,生产入库单,/apps/WMS/in_stock/prc,生产入库单
WMS,RETPRC,生产退料单,/apps/WMS/in_stock/retprc,生产退料单
WMS,RETIN,售后入库单,/apps/WMS/in_stock/retin,售后入库单
WMS,OTHIN,其他入库单,/apps/WMS/in_stock/othin,其他入库单
WMS,SGI,盘盈单,/apps/WMS/in_stock/sgi,盘盈单
WMS,ORIGIN,初始库存,/apps/WMS/in_stock/origin,初始库存
WMS,SALSH,销售出库单,/apps/WMS/out_stock/salsh,销售出库单
WMS,PRCTK,生产领料单,/apps/WMS/out_stock/prctk,生产领料单
WMS,RETOUT,售后出库单,/apps/WMS/out_stock/retout,售后出库单
WMS,REPURC,采购退料单,/apps/WMS/out_stock/repurc,采购退料单
WMS,OTHOUT,其他出库单,/apps/WMS/out_stock/othout,其他出库单
WMS,SLO,盘亏单,/apps/WMS/out_stock/slo,盘亏单
WMS,TRANSFER,标准直接调拨单,/apps/WMS/transfer/standard,标准直接调拨单
WMS,DIFF_TRANSFER,差额直接调拨单,/apps/WMS/transfer/difference,差额直接调拨单
WMS,SWITCH,形态转换单,/apps/WMS/switch,形态转换单
WMS,STOCKTAKE,库存盘点,/apps/WMS/stocktaking,库存盘点
PMS,ORPURC,采购订单,/apps/PMS/order,采购订单
PMS,PRIC,采购价目表,/apps/PMS/prices,采购价目表
SMS,ORSALE,销售订单,/apps/SMS/order,销售订单
SMS,PMCONFIG,机型配置,/apps/SMS/pmconfig/list,机型配置列表
SMS,PMCONFIG,机型配置分组,/apps/SMS/pmconfig/group,机型配置分组
SMS,PMCONFIG,机型配置类型,/apps/SMS/pmconfig/type,机型配置类型
SMS,SPC,销售价目表,/apps/SMS/prices,销售价目表
MES,WORKORDER,生产工单,/apps/MES/workorder/v3,生产工单
MES,PROCESS,工序配置,/apps/MES/process,工序配置
MES,REPREC,生产报工,/apps/MES/reprec/v3,生产报工
MES,PRCMAT,生产用料单,/apps/MES/prcmat/v3,生产用料单
APS,SCHEME,运算方案,/apps/APS/scheme,运算方案
APS,ANLYS,排产分析,/apps/APS/anlys/v2,排产分析
APS,FORECAST,预测需求,/apps/APS/forecast,预测需求
APS,PLORDER,计划订单,/apps/APS/plorder,计划订单
